Start date,End date,Open Price,Close Price,Low Price,High Price,Open Volume,Close Volume,Low Volume,High Volume
7-November-1996,22-November-1996,166.5,155.0,155.0,172.0,2382977,2528254,861750,2828691
25-November-1996,6-December-1996,153.25,152.75,145.75,162.25,2103014,1965946,1150791,2568548
9-December-1996,20-December-1996,153.0,165.75,148.5,166.25,915252,2510525,915252,3041934
23-December-1996,10-January-1997,166.0,185.25,160.5,192.75,1902476,3146516,1308378,7417923
13-January-1997,27-January-1997,184.75,208.0,182.75,221.0,4403183,6751688,2208886,7690852
28-January-1997,10-February-1997,211.0,195.5,177.0,215.0,6218464,5631996,2644919,6218464
11-February-1997,24-February-1997,194.75,182.0,181.75,201.75,3293743,1820574,1342594,3293743
25-February-1997,10-March-1997,182.0,198.5,178.5,217.5,2345949,2582502,1621591,5641202
11-March-1997,25-March-1997,199.0,184.5,179.25,200.25,2638227,1651874,1084539,2816747
26-March-1997,9-April-1997,184.0,168.75,154.0,184.5,649161,962327,649161,2382425
10-April-1997,25-April-1997,167.0,181.5,158.5,189.0,892510,1924345,264809,4840442
28-April-1997,13-May-1997,184.75,173.0,171.5,186.5,2479135,861674,861674,2999162
14-May-1997,27-May-1997,172.0,167.75,166.5,182.25,1138523,863916,652910,2157403
28-May-1997,10-June-1997,168.25,170.5,166.0,177.5,587232,2007821,587232,2487284
11-June-1997,24-June-1997,171.5,191.25,171.5,199.5,2497743,3265850,1203971,5613339
25-June-1997,8-July-1997,192.0,213.0,181.5,224.75,1575052,4449194,1575052,12095212
9-July-1997,22-July-1997,215.5,209.5,199.0,224.5,5156743,3821263,1955959,5156743
23-July-1997,5-August-1997,209.75,223.25,208.25,225.75,6183911,3410554,2399639,7277068
6-August-1997,21-August-1997,223.5,196.75,195.25,230.5,8343399,3253655,1752849,8343399
22-August-1997,5-September-1997,195.5,183.25,178.5,195.75,2529229,1257864,1224204,2822596
8-September-1997,19-September-1997,183.5,174.0,173.5,191.5,1006144,1632187,400209,3993687
22-September-1997,6-October-1997,174.0,167.75,165.25,177.25,852827,417088,417088,998558
7-October-1997,20-October-1997,167.0,184.75,166.0,188.5,1428665,1731563,790803,3787239
21-October-1997,6-November-1997,184.0,162.5,158.0,184.75,1353787,648624,417601,2104644
